"area_familia","modalidad","fecha","canton","provincia","id_fact_oc_cp","id_razon_social","id_fecha","dia","tipo","especialidad_sector","curso_perfil","razon_social","estado","tipo_razon_social","fecha_resolucion","id_curso_perfil","carga_horaria","costo","mes","anio","num_cap_cer","total_ganancias","prediction(total_horas)"
"construcción e infraestructura","presencial","31-12-2021","quito","pichincha",0.0,1.0,6.0,31.0,"curso","tecnología de la construcción","fiscalización y administración de contratos de construcción","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",4015.0,40.0,550.0,12.0,2021.0,69.59102674719585,32518.159058849335,2765.75
"construcción e infraestructura","presencial","31-12-2021","quito","pichincha",1.0,1.0,6.0,31.0,"curso","tecnología de la construcción","fiscalización y administración de contratos de construcción","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",4016.0,40.0,528.8000000000001,12.0,2021.0,69.59102674719585,32518.159058849335,2765.75
"educación y capacitación","presencial","31-12-2021","quito","pichincha",2.0,1.0,6.0,31.0,"curso","formación de instructores facilitadores monitores maestros guías formadores","formación de docentes para educación virtual","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",4021.0,150.0,537.0,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","presencial","31-12-2021","quito","pichincha",3.0,1.0,6.0,31.0,"curso","formación de instructores facilitadores monitores maestros guías formadores","formación de docentes para educación virtual","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",4022.0,150.0,1031.3809523809518,12.0,2021.0,69.59102674719585,32518.159058849335,8640.0
"educación y capacitación","presencial","MISSING","quito","pichincha",2177.0,1.0,2142.0,31.0,"curso","formación de instructores facilitadores monitores maestros guías formadores","formación de docentes para educación virtual","abalco haro cristian patricio","calificado","operador de capacitación","19-10-2021",4022.0,150.0,1031.3809523809518,1.0,2023.0,69.59102674719585,32518.159058849335,8640.0
"servicios socioculturales y a la comunidad","presencial","31-12-2021","ambato","tungurahua",4.0,4.0,6.0,31.0,"curso","salud y medicina","limpieza y desinfección hospitalaria","abkrea ingenieria cia. ltda.","calificado","operador de capacitación","28-03-2021",3261.0,60.0,300.0,12.0,2021.0,69.59102674719585,32518.159058849335,1500.0
"servicios socioculturales y a la comunidad","presencial","31-12-2021","guayaquil","guayas",5.0,12.0,6.0,31.0,"curso","servicios de seguridad física guardianía","análisis y gestión de riesgos","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",4617.0,30.0,290.1,12.0,2021.0,69.59102674719585,32518.159058849335,934.1432291666666
"servicios socioculturales y a la comunidad","presencial","31-12-2021","guayaquil","guayas",6.0,12.0,6.0,31.0,"curso","servicios de seguridad física guardianía","supervisión efectiva","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",4616.0,40.0,550.0,12.0,2021.0,69.59102674719585,32518.159058849335,2760.0
"servicios socioculturales y a la comunidad","online","31-12-2021","guayaquil","guayas",7.0,12.0,6.0,31.0,"curso","servicios de seguridad física guardianía","supervisión efectiva","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",4619.0,40.0,40.0,12.0,2021.0,69.59102674719585,32518.159058849335,3040.0
"servicios socioculturales y a la comunidad","presencial","MISSING","guayaquil","guayas",1993.0,12.0,2142.0,31.0,"curso","servicios de seguridad física guardianía","análisis y gestión de riesgos","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",4617.0,30.0,290.1,1.0,2023.0,69.59102674719585,32518.159058849335,934.1432291666666
