id_fecha,fecha,dia,mes,anio
0,31-12-2010,31,12,2010
1,31-12-2016,31,12,2016
2,31-12-2017,31,12,2017
3,31-12-2018,31,12,2018
4,31-12-2019,31,12,2019
5,31-12-2020,31,12,2020
6,31-12-2021,31,12,2021
7,31-12-2022,31,12,2022
8,01-01-2019,01,01,2019
9,01-01-2020,01,01,2020
10,01-01-2021,01,01,2021
11,01-01-2022,01,01,2022
12,01-02-2017,01,02,2017
13,01-02-2018,01,02,2018
14,01-02-2019,01,02,2019
15,01-02-2020,01,02,2020
16,01-02-2021,01,02,2021
17,01-02-2022,01,02,2022
18,01-03-2017,01,03,2017
19,01-03-2018,01,03,2018
20,01-03-2019,01,03,2019
21,01-03-2020,01,03,2020
22,01-03-2021,01,03,2021
23,01-03-2022,01,03,2022
24,01-04-2014,01,04,2014
25,01-04-2019,01,04,2019
26,01-04-2021,01,04,2021
27,01-04-2022,01,04,2022
28,01-05-2018,01,05,2018
29,01-05-2019,01,05,2019
30,01-05-2021,01,05,2021
31,01-05-2022,01,05,2022
32,01-06-2017,01,06,2017
33,01-06-2018,01,06,2018
34,01-06-2019,01,06,2019
35,01-06-2021,01,06,2021
36,01-06-2022,01,06,2022
37,01-07-2019,01,07,2019
38,01-07-2020,01,07,2020
39,01-07-2021,01,07,2021
40,01-07-2022,01,07,2022
41,01-08-2016,01,08,2016
42,01-08-2017,01,08,2017
43,01-08-2018,01,08,2018
44,01-08-2019,01,08,2019
45,01-08-2020,01,08,2020
46,01-08-2021,01,08,2021
47,01-08-2022,01,08,2022
48,01-09-2014,01,09,2014
49,01-09-2017,01,09,2017
50,01-09-2018,01,09,2018
51,01-09-2019,01,09,2019
52,01-09-2020,01,09,2020
53,01-09-2021,01,09,2021
54,01-10-2013,01,10,2013
55,01-10-2016,01,10,2016
56,01-10-2017,01,10,2017
57,01-10-2018,01,10,2018
58,01-10-2019,01,10,2019
59,01-10-2020,01,10,2020
60,01-10-2021,01,10,2021
61,01-11-2016,01,11,2016
62,01-11-2017,01,11,2017
63,01-11-2018,01,11,2018
64,01-11-2019,01,11,2019
65,01-11-2020,01,11,2020
66,01-11-2021,01,11,2021
67,01-12-2014,01,12,2014
68,01-12-2016,01,12,2016
69,01-12-2017,01,12,2017
70,01-12-2018,01,12,2018
71,01-12-2019,01,12,2019
72,01-12-2020,01,12,2020
73,01-12-2021,01,12,2021
74,02-01-2018,02,01,2018
75,02-01-2019,02,01,2019
76,02-01-2020,02,01,2020
77,02-01-2021,02,01,2021
78,02-01-2022,02,01,2022
79,02-02-2017,02,02,2017
80,02-02-2018,02,02,2018
81,02-02-2019,02,02,2019
82,02-02-2020,02,02,2020
83,02-02-2021,02,02,2021
84,02-02-2022,02,02,2022
85,02-03-2015,02,03,2015
86,02-03-2017,02,03,2017
87,02-03-2018,02,03,2018
88,02-03-2019,02,03,2019
89,02-03-2020,02,03,2020
90,02-03-2021,02,03,2021
91,02-03-2022,02,03,2022
92,02-04-2014,02,04,2014
93,02-04-2018,02,04,2018
94,02-04-2019,02,04,2019
95,02-04-2021,02,04,2021
96,02-04-2022,02,04,2022
97,02-05-2017,02,05,2017
98,02-05-2018,02,05,2018
99,02-05-2019,02,05,2019
100,02-05-2021,02,05,2021
101,02-05-2022,02,05,2022
102,02-06-2017,02,06,2017
103,02-06-2019,02,06,2019
104,02-06-2021,02,06,2021
105,02-06-2022,02,06,2022
106,02-07-2018,02,07,2018
107,02-07-2019,02,07,2019
108,02-07-2020,02,07,2020
109,02-07-2021,02,07,2021
110,02-07-2022,02,07,2022
111,02-08-2016,02,08,2016
112,02-08-2017,02,08,2017
113,02-08-2018,02,08,2018
114,02-08-2019,02,08,2019
115,02-08-2020,02,08,2020
116,02-08-2021,02,08,2021
117,02-08-2022,02,08,2022
118,02-09-2016,02,09,2016
119,02-09-2017,02,09,2017
120,02-09-2018,02,09,2018
121,02-09-2019,02,09,2019
122,02-09-2020,02,09,2020
123,02-09-2021,02,09,2021
124,02-10-2013,02,10,2013
125,02-10-2017,02,10,2017
