id_fact_ci_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap,prediction_num_cap,total_horas,prediction_total_horas,total_ganancias,prediction_total_ganancias
0.0,3.0,8897.0,6.0,14.0,14.0,336.0,311.6082855377931,1841.28,1841.28
1.0,19.0,9644.0,6.0,69.0,69.0,2760.0,2758.3808011215765,7700.4,7700.4
2.0,24.0,9012.0,6.0,102.0,102.0,1632.0,1595.5735632952887,11221.424761904756,11221.424761904756
3.0,24.0,9841.0,6.0,7.0,7.0,112.0,117.1207294565279,920.64,920.64
4.0,24.0,9839.0,6.0,17.0,17.0,272.0,280.12364150105304,1870.2374603174592,1870.2374603174592
5.0,31.0,9928.0,6.0,19.0,19.0,456.0,451.2718420297492,6849.120000000001,6849.120000000001
6.0,31.0,9927.0,6.0,24.0,24.0,960.0,962.3464299141084,1440.0,1440.0
7.0,44.0,9949.0,6.0,4.0,4.0,128.0,138.07702727882452,1442.56,1442.56
8.0,44.0,9950.0,6.0,26.0,26.0,624.0,613.2007133540351,7282.08,7282.08
9.0,46.0,9094.0,6.0,27.0,27.0,1080.0,1070.5042791719202,2829.6000000000004,2829.6000000000004
10.0,46.0,9095.0,6.0,86.0,86.0,3440.0,3541.051014187618,23653.00317460316,23653.00317460316
11.0,52.0,10100.0,6.0,2.0,2.0,80.0,79.50480531702078,89.60000000000001,89.60000000000001
12.0,54.0,9423.0,6.0,5.0,5.0,80.0,80.20192624150104,249.6,249.6
13.0,64.0,8983.0,6.0,2.0,2.0,80.0,79.35738729486502,150.39999999999998,150.39999999999998
14.0,67.0,10378.0,6.0,22.0,22.0,880.0,874.1866504008535,1540.0,1540.0
15.0,69.0,10153.0,6.0,43.0,43.0,1032.0,1079.8683220994312,340.56,340.56
16.0,73.0,9270.0,6.0,3.0,3.0,120.0,123.29213499823844,1081.1999999999998,1081.1999999999998
17.0,79.0,8953.0,6.0,1.0,1.0,40.0,44.92679501719567,275.03492063492047,275.03492063492047
18.0,83.0,8968.0,6.0,6.0,6.0,48.0,56.694889138324925,330.04190476190456,330.04190476190456
19.0,83.0,10771.0,6.0,44.0,44.0,1056.0,1049.86140132217,7260.921904761901,7260.921904761901
20.0,86.0,9347.0,6.0,28.0,28.0,896.0,892.6419123139817,8117.76,8117.76
21.0,97.0,9730.0,6.0,10.0,10.0,160.0,147.85472347108907,3604.8,3604.8
22.0,99.0,8792.0,6.0,67.0,67.0,536.0,529.2578515809614,3685.467936507934,3685.467936507934
23.0,108.0,9872.0,6.0,26.0,26.0,1040.0,1033.6734410802487,4680.0,4680.0
24.0,108.0,9874.0,6.0,15.0,15.0,600.0,609.2411686907176,4125.523809523807,4125.523809523807
25.0,111.0,9996.0,6.0,1.0,1.0,16.0,12.079558635934063,4.48,4.48
26.0,117.0,9183.0,6.0,9.0,9.0,144.0,142.92036891995258,623.52,623.52
27.0,120.0,9786.0,6.0,2.0,2.0,80.0,79.35738729486502,41.6,40.8
28.0,125.0,9008.0,6.0,51.0,51.0,2040.0,2034.0318463462056,2040.0,2040.0
29.0,125.0,9007.0,6.0,61.0,61.0,2440.0,2408.4792457836334,2732.8,2732.8
30.0,125.0,9009.0,6.0,48.0,48.0,1920.0,1911.037732915825,2150.4,2150.4
31.0,127.0,9983.0,6.0,2.0,2.0,80.0,79.50480531702078,89.60000000000001,89.60000000000001
32.0,128.0,8878.0,6.0,1.0,1.0,40.0,45.8972928131584,168.4,168.4
33.0,156.0,9823.0,6.0,12.0,12.0,480.0,477.9304561222557,2020.8,2020.8
34.0,156.0,9824.0,6.0,7.0,7.0,280.0,280.6077939848069,1260.0,1260.0
35.0,165.0,9198.0,6.0,32.0,32.0,256.0,278.0716137987215,1920.0,1920.0
36.0,165.0,9197.0,6.0,85.0,85.0,1360.0,1311.0252369892437,9356.8,9356.8
37.0,165.0,9199.0,6.0,53.0,53.0,2120.0,2138.4918129908506,2374.4,2374.4
38.0,168.0,9027.0,6.0,30.0,30.0,720.0,696.8471500229675,4802.4,4802.4
39.0,171.0,8296.0,6.0,23.0,23.0,920.0,912.2727729136708,1030.4,1030.4
40.0,173.0,9815.0,6.0,704.0,704.0,16896.0,19130.494192607573,31764.48,31764.48
41.0,174.0,9847.0,6.0,1.0,1.0,24.0,27.96703101216144,88.08,88.08
42.0,175.0,10386.0,6.0,3.0,3.0,120.0,121.87522100458182,210.0,210.0
43.0,175.0,10388.0,6.0,2.0,2.0,80.0,79.35738729486502,140.0,140.0
44.0,175.0,10387.0,6.0,1.0,1.0,40.0,45.17164467821158,70.0,70.0
45.0,177.0,10245.0,6.0,5.0,5.0,200.0,201.12956160107888,900.0,900.0
46.0,184.0,9102.0,6.0,9.0,9.0,216.0,218.31778921453545,2430.0,2430.0
47.0,189.0,10254.0,6.0,6.0,6.0,48.0,58.92713088808841,360.0,360.0
48.0,189.0,10253.0,6.0,40.0,40.0,320.0,332.33934784947223,2400.0,2400.0
