id_fact_ci_rs,id_razon_social,id_fecha,total_cursos,prediction_total_cursos,volumen_cap,prediction_volumen_cap,volumen_horas,prediction_volumen_horas,volumen_ganancias,prediction_volumen_ganancias
0.0,1000.0,7.0,3.0,3.2280355789498354,191.0,191.0,1696.0,3044.0,23671.68,20777.00740745169
3.0,1004.0,7.0,1.0,0.976516691962821,22.0,22.0,704.0,704.0,1936.0,1775.9155360559816
8.0,1023.0,7.0,3.0,2.505027407862577,16.0,16.0,352.0,352.0,2506.331428571428,2199.868022273004
10.0,1025.0,7.0,2.0,1.8585287922996725,175.0,175.0,7000.0,7000.0,9208.0,10138.735937560616
12.0,1030.0,7.0,1.0,1.012407348064222,4.0,4.0,128.0,128.0,1442.56,751.5266081194277
13.0,1031.0,7.0,1.0,1.0040731779977032,1.0,1.0,16.0,16.0,129.92,1447.8378582696314
27.0,1251.0,7.0,1.0,1.242678968463657,10.0,9.5,400.0,352.0,448.00000000000006,1450.8313590983744
40.0,1274.0,7.0,1.0,1.063483944932592,61.0,61.0,488.0,488.0,3355.42603174603,3625.594589541375
48.0,1299.0,7.0,1.0,0.8982355205612076,5.0,7.5,80.0,80.0,550.0698412698409,629.4816602568026
54.0,1334.0,7.0,2.0,1.64867019533856,3.0,3.0,120.0,120.0,886.8,531.0456251005526
56.0,1338.0,7.0,2.0,1.876169298162928,21.0,21.0,600.0,600.0,1326.4,2382.3088091413374
64.0,1355.0,7.0,1.0,1.0505859815043332,16.0,16.0,512.0,512.0,5770.24,5220.834378807514
67.0,1361.0,7.0,1.0,1.1113899586802982,13.0,13.0,520.0,520.0,3575.453968253966,2940.3840008477564
69.0,1363.0,7.0,1.0,1.4071832134490945,100.0,100.0,4000.0,4000.0,10480.000000000002,11738.103792736949
71.0,1365.0,7.0,2.0,1.7199515308843512,7.0,7.0,280.0,280.0,945.6,1092.015364180028
76.0,1378.0,7.0,1.0,1.0126206616500677,1.0,1.0,40.0,40.0,44.8,314.40094394487096
83.0,1392.0,7.0,1.0,0.9883101981058426,169.0,169.0,6760.0,6760.0,60907.6,63763.342843859165
93.0,1415.0,7.0,2.0,1.9357277316434884,8.0,8.0,320.0,320.0,1080.0,1291.7234880427714
117.0,1484.0,7.0,1.0,1.336229558872652,7.0,7.0,112.0,154.0,1179.36,958.6160596708652
118.0,1485.0,7.0,1.0,1.111099367203202,125.0,125.0,1000.0,1000.0,6875.873015873011,10647.495411763608
127.0,1511.0,7.0,1.0,1.3251157714680413,57.0,57.0,2280.0,2280.0,2553.6000000000004,2579.377725253522
130.0,1520.0,7.0,3.0,2.949943029386055,86.0,86.0,3440.0,3440.0,23653.00317460316,20462.90534550947
141.0,1546.0,7.0,1.0,1.1388047514069295,38.0,38.0,1520.0,1540.0,4240.8,5417.165637741506
142.0,1548.0,7.0,1.0,1.0828915499246032,2.0,2.0,80.0,80.0,4.0,316.5726636747713
144.0,155.0,7.0,1.0,1.011465841146197,92.0,92.0,2208.0,2200.0,10289.28,12433.17705560726
151.0,1570.0,7.0,1.0,1.0964817078733868,9.0,9.0,144.0,144.0,990.1257142857136,963.35914821428
158.0,1594.0,7.0,1.0,1.0508762714002624,19.0,19.0,152.0,152.0,1045.1326984126977,2046.032184551179
168.0,1623.0,7.0,1.0,1.199861989944544,2.0,2.0,64.0,64.0,440.0558730158728,365.2561819056864
170.0,1634.0,7.0,2.0,1.812159868748928,41.0,35.5,592.0,592.0,4727.415873015872,4912.061305950105
176.0,1641.0,7.0,7.0,7.02520898608325,804.0,804.0,22120.0,22120.0,80398.64,69025.23331126448
177.0,1642.0,7.0,1.0,1.184935607287549,31.0,31.0,1240.0,1240.0,1860.0,4956.415291557729
178.0,1643.0,7.0,1.0,1.070180058306938,12.0,12.0,480.0,480.0,3840.0,1982.1763145427103
181.0,1648.0,7.0,1.0,1.019493172653234,1.0,1.0,16.0,16.0,168.48,287.62277353805257
191.0,1678.0,7.0,1.0,1.3327748182150354,7.0,7.0,280.0,280.0,1925.2444444444432,1581.0571047763224
194.0,1684.0,7.0,1.0,1.1842058978640817,9.0,9.0,144.0,154.0,1006.56,976.3872388700838
203.0,1701.0,7.0,2.0,1.905663998250453,19.0,19.0,760.0,760.0,3199.6000000000004,2929.9222052196856
205.0,1704.0,7.0,1.0,1.0877824036674393,20.0,20.0,320.0,320.0,2200.279365079364,2186.6582014660235
212.0,1722.0,7.0,1.0,1.0162628648090286,19.0,19.0,760.0,760.0,1140.0,1882.27009815973
219.0,1740.0,7.0,2.0,1.8889356006029407,92.0,92.0,1048.0,1189.3333333333333,15500.159999999998,11511.628987560687
231.0,1761.0,7.0,1.0,1.0228405038674064,3.0,3.0,120.0,108.0,420.0,557.823795507371
234.0,1765.0,7.0,1.0,1.1397167901254543,1.0,1.0,40.0,40.0,180.0,336.6389462451334
239.0,1775.0,7.0,1.0,1.2840605176884092,61.0,61.0,2440.0,2200.0,10272.4,7839.998589287221
242.0,1789.0,7.0,1.0,1.0174611222996428,10.0,7.5,80.0,154.0,550.0698412698409,958.6160596708652
246.0,1795.0,7.0,3.0,2.5973912357608024,24.0,24.0,400.0,400.0,3510.293333333332,3175.6670355300303
255.0,182.0,7.0,1.0,1.0936167135318793,23.0,23.0,920.0,920.0,1729.5999999999997,3410.727902023762
257.0,1826.0,7.0,1.0,1.0362655352641703,1.0,1.0,40.0,40.0,320.0,287.62277353805257
259.0,1829.0,7.0,1.0,1.1826327003459265,4.0,4.0,160.0,160.0,300.79999999999995,580.0617978076334
267.0,1845.0,7.0,2.0,1.7762562666161794,62.0,62.0,1952.0,2200.0,8520.0,8617.593193779408
268.0,1847.0,7.0,2.0,1.9947470908796057,95.0,95.0,2056.0,2056.0,14645.36,11065.121744106233
274.0,1865.0,7.0,4.0,3.313519205762056,8.0,8.0,168.0,168.0,2443.5479365079364,1647.2371155868168
275.0,1867.0,7.0,1.0,1.0859212100135447,2.0,2.0,16.0,21.33333333333333,336.96,300.37094248336507
276.0,1868.0,7.0,1.0,1.1127854643950523,1.0,1.0,40.0,40.0,180.0,287.62277353805257
277.0,187.0,7.0,2.0,2.1563650479679164,35.0,35.0,1152.0,1152.0,2332.16,4822.813347588002
279.0,1878.0,7.0,1.0,1.0982280645061802,2.0,2.0,80.0,80.0,360.0,413.1265851954813
282.0,1884.0,7.0,1.0,1.1804178142869897,16.0,16.0,640.0,640.0,716.8000000000001,1377.6604317526217
285.0,1887.0,7.0,1.0,1.2353056910237463,39.0,39.0,1560.0,1560.0,6754.799999999999,6319.935540626466
290.0,1899.0,7.0,1.0,1.085419008285022,2.0,2.0,80.0,80.0,89.60000000000001,343.3508340815897
293.0,1900.0,7.0,2.0,1.9202591598864056,12.0,12.0,216.0,216.0,1270.15365079365,1379.3510171870585
301.0,1914.0,7.0,1.0,1.0505563675273843,3.0,3.0,120.0,108.0,529.2,531.0456251005526
304.0,1921.0,7.0,2.0,1.4198183162465976,2.0,2.0,32.0,56.0,186.5269841269841,300.37094248336507
306.0,1927.0,7.0,1.0,1.2435143180068515,40.0,40.0,640.0,640.0,4473.6,4973.7357719044085
319.0,1995.0,7.0,1.0,1.1255517017111525,23.0,23.0,920.0,920.0,2585.2000000000003,3017.5706884960528
335.0,2036.0,7.0,1.0,1.0506631525995327,135.0,135.0,5400.0,5400.0,37129.71428571426,39059.202254603326
336.0,2038.0,7.0,1.0,1.0942496564334545,9.0,9.0,360.0,360.0,676.8,1355.178706000268
337.0,204.0,7.0,1.0,1.01942820754855,1.0,1.0,16.0,16.0,140.0,314.40094394487096
358.0,2108.0,7.0,1.0,1.1166156955646112,24.0,24.0,960.0,786.6666666666666,4041.6,3658.514183769643
359.0,211.0,7.0,1.0,1.3045316752199834,3.0,3.0,96.0,108.0,415.68,489.9762002925272
361.0,2113.0,7.0,2.0,2.0397906707498588,60.0,60.0,2400.0,2400.0,10966.152380952375,8050.873701522767
367.0,2124.0,7.0,3.0,2.2742817653038183,3.0,3.0,72.0,108.0,787.12,463.1980298857088
368.0,2125.0,7.0,3.0,2.9678414794579804,345.0,345.0,13760.0,13760.0,20760.0,22241.80965360877
