id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,prediction_num_cap_cer,total_horas,prediction_total_horas,total_ganancias,prediction_total_ganancias,porcentaje_asistencia,prediction_porcentaje_asistencia
0.0,1.0,4015.0,6.0,34.0,34.0,1360.0,1360.0,18700.0,18700.0,0.0,0.5952380952380952
1.0,1.0,4016.0,6.0,34.0,34.0,1360.0,1360.0,17979.2,17979.2,0.0,0.5952380952380952
2.0,1.0,4021.0,6.0,1.0,1.0,150.0,150.0,537.0,537.0,0.0,0.9702651515151516
3.0,1.0,4022.0,6.0,1.0,1.0,150.0,150.0,1031.3809523809518,1031.3809523809518,0.0,0.9702651515151516
4.0,4.0,3261.0,6.0,25.0,25.0,1500.0,1500.0,7500.0,7500.0,0.0,4.074224386724387
5.0,12.0,4617.0,6.0,5.0,5.0,150.0,150.0,1450.5,1450.5,0.0,6.944444444444445
6.0,12.0,4616.0,6.0,244.0,244.0,9760.0,9760.0,134200.0,134200.0,0.0,102.7372009016672
7.0,12.0,4619.0,6.0,244.0,244.0,9760.0,9760.0,9760.0,9760.0,0.0,102.7372009016672
8.0,15.0,1720.0,6.0,23.0,23.0,1380.0,1380.0,9488.704761904755,9488.704761904755,0.0,0.1262626262626262
9.0,15.0,1721.0,6.0,9.0,9.0,270.0,270.0,1856.485714285713,1856.485714285713,0.0,0.1262626262626262
813.0,15.0,1721.0,3.0,6.0,6.0,180.0,180.0,1237.6571428571422,1237.6571428571422,0.0,0.1262626262626262
10.0,50.0,735.0,6.0,7.0,7.0,2184.0,2184.0,28872.480000000003,28872.480000000003,0.0,6.944444444444445
11.0,50.0,742.0,6.0,7.0,7.0,2800.0,2800.0,37016.0,37016.0,0.0,6.944444444444445
12.0,50.0,732.0,6.0,35.0,35.0,12600.0,12600.0,86635.99999999996,86635.99999999996,0.0,27.97619047619048
13.0,50.0,736.0,6.0,35.0,35.0,14000.0,14000.0,96262.22222222218,96262.22222222218,0.0,27.97619047619048
14.0,66.0,4113.0,6.0,573.0,750.5294117647059,17190.0,17190.0,166227.30000000002,166227.30000000002,0.0,0.9100642398286938
15.0,66.0,4117.0,6.0,573.0,750.5294117647059,17190.0,17190.0,150412.5,150412.5,0.0,0.9100642398286938
16.0,84.0,4106.0,6.0,1.0,1.0,30.0,30.0,528.6,528.6,0.0,6.944444444444445
17.0,100.0,2589.0,6.0,4.0,4.0,500.0,500.0,11890.0,11890.0,0.0,6.944444444444445
18.0,100.0,2588.0,6.0,26.0,26.0,5200.0,5200.0,572.0,572.0,0.0,6.944444444444445
19.0,100.0,2590.0,6.0,27.0,27.0,3510.0,3510.0,83467.8,83467.8,0.0,6.944444444444445
814.0,100.0,2589.0,3.0,6.0,6.0,750.0,750.0,17835.0,17835.0,0.0,6.944444444444445
815.0,100.0,2588.0,3.0,20.0,20.0,4000.0,4000.0,440.0,440.0,0.0,6.944444444444445
20.0,121.0,4871.0,6.0,2.0,2.0,50.0,50.0,85.5,85.5,0.0,1.414677276746242
21.0,121.0,4869.0,6.0,1.0,1.0,30.0,30.0,51.3,51.3,0.0,1.414677276746242
22.0,121.0,4875.0,6.0,55.0,55.0,1980.0,2090.0,3385.8,3385.8,0.0,6.944444444444445
23.0,121.0,4880.0,6.0,55.0,55.0,2200.0,2090.0,3762.000000000001,3762.000000000001,0.0,0.8862689893627697
24.0,121.0,4874.0,6.0,47.0,47.0,846.0,846.0,1446.66,1446.66,0.0,0.5810281672350638
25.0,121.0,4883.0,6.0,47.0,47.0,846.0,846.0,1412.82,1412.82,0.0,0.5810281672350638
26.0,121.0,4870.0,6.0,3.0,3.0,90.0,90.0,153.89999999999998,153.89999999999998,0.0,1.414677276746242
27.0,121.0,4877.0,6.0,3.0,3.0,120.0,120.0,205.2,205.2,0.0,6.944444444444445
28.0,121.0,4882.0,6.0,3.0,3.0,90.0,90.0,132.3,132.3,0.0,1.414677276746242
816.0,121.0,4869.0,3.0,5.0,5.0,150.0,150.0,256.5,256.5,0.0,1.414677276746242
817.0,121.0,4875.0,3.0,53.0,53.0,1908.0,2014.0,3262.6800000000003,3262.6800000000003,0.0,6.944444444444445
818.0,121.0,4880.0,3.0,53.0,53.0,2120.0,2014.0,3625.2,3625.2,0.0,0.8862689893627697
819.0,121.0,4874.0,3.0,21.0,21.0,378.0,378.0,646.38,646.38,0.0,0.5810281672350638
820.0,121.0,4883.0,3.0,21.0,21.0,378.0,378.0,631.26,631.26,0.0,0.5810281672350638
947.0,121.0,4869.0,4.0,17.0,17.0,510.0,510.0,872.0999999999999,872.0999999999999,0.0,1.414677276746242
948.0,121.0,4875.0,4.0,37.0,37.0,1332.0,1406.0,2277.7200000000003,2277.7200000000003,0.0,6.944444444444445
949.0,121.0,4880.0,4.0,37.0,37.0,1480.0,1406.0,2530.8,2530.8,0.0,0.8862689893627697
950.0,121.0,4874.0,4.0,17.0,17.0,306.0,306.0,523.26,523.26,0.0,0.5810281672350638
951.0,121.0,4883.0,4.0,17.0,17.0,306.0,306.0,511.02,511.02,0.0,0.5810281672350638
29.0,129.0,1745.0,6.0,96.0,96.0,1536.0,1536.0,73052.16,73052.16,0.0,1.4805278403604765
30.0,129.0,1756.0,6.0,11.0,11.0,176.0,176.0,8370.560000000001,8370.560000000001,0.0,0.0643707756678468
31.0,129.0,1761.0,6.0,1.0,1.0,40.0,40.0,150.0,150.0,0.0,0.0333333333333333
32.0,129.0,1744.0,6.0,15.0,15.0,150.0,150.0,7134.0,7134.0,0.0,6.944444444444445
33.0,129.0,1747.0,6.0,152.0,152.0,6080.0,6080.0,115641.6,115641.6,0.0,33.909530124742766
34.0,129.0,1759.0,6.0,30.0,30.0,360.0,360.0,22831.2,22831.2,0.0,0.6598004505954297
35.0,129.0,1749.0,6.0,4.0,4.0,64.0,64.0,3043.84,3043.84,0.0,0.0643707756678468
36.0,129.0,1740.0,6.0,129.0,129.0,5160.0,5160.0,98143.2,98143.2,0.0,0.1262626262626262
821.0,129.0,1747.0,3.0,131.0,131.0,5240.0,5240.0,99664.8,99664.8,0.0,33.909530124742766
952.0,129.0,1735.0,4.0,4.0,4.0,40.0,40.0,2374.8,2374.8,0.0,13.727327276906806
37.0,147.0,2088.0,6.0,4.0,4.0,200.0,200.0,2116.0,2116.0,0.0,6.944444444444445
38.0,147.0,2074.0,6.0,27.0,27.0,4050.0,4050.0,66906.0,66906.0,0.0,6.944444444444445
39.0,147.0,2075.0,6.0,7.0,7.0,1050.0,1050.0,1690.5000000000002,1690.5000000000002,0.0,6.944444444444445
953.0,147.0,2075.0,4.0,10.0,10.0,1500.0,1500.0,2415.0000000000005,2415.0000000000005,0.0,6.944444444444445
40.0,180.0,2555.0,6.0,29.0,29.0,17400.0,17400.0,1149966.0,1149966.0,0.0,6.944444444444445
41.0,180.0,2556.0,6.0,29.0,29.0,17400.0,17400.0,90828.0,90828.0,0.0,6.944444444444445
42.0,180.0,2577.0,6.0,14.0,14.666666666666666,7000.0,7000.0,48131.11111111108,48131.11111111108,0.0,0.1262626262626262
43.0,180.0,2578.0,6.0,14.0,14.666666666666666,7000.0,7000.0,48131.11111111108,48131.11111111108,0.0,0.1262626262626262
44.0,180.0,2533.0,6.0,41.0,41.0,1230.0,1230.0,3456.3,3456.3,0.0,6.944444444444445
45.0,186.0,31.0,6.0,1.0,1.0,40.0,40.0,75.19999999999999,75.19999999999999,0.0,0.0643707756678468
46.0,186.0,30.0,6.0,19.0,19.0,760.0,760.0,3800.0,3800.0,0.0,0.0643707756678468
47.0,194.0,5233.0,6.0,1.0,1.0,268.0,268.0,1842.733968253967,1842.733968253967,0.0,0.1262626262626262
48.0,194.0,5229.0,6.0,1.0,1.0,267.0,267.0,1835.8580952380944,1835.8580952380944,0.0,0.1262626262626262
49.0,194.0,5232.0,6.0,1.0,1.0,266.0,266.0,1828.982222222221,1828.982222222221,0.0,0.1262626262626262
823.0,194.0,5230.0,3.0,1.0,1.0,267.0,267.0,1835.8580952380944,1835.8580952380944,0.0,0.1262626262626262
50.0,196.0,5110.0,6.0,1.0,1.0,22.0,22.0,401.06,401.06,0.0,0.0643707756678468
824.0,196.0,5107.0,3.0,39.0,39.0,312.0,306.6666666666667,20620.08,20620.08,0.0,2.9761904761904754
825.0,196.0,5109.0,3.0,4.0,4.0,32.0,32.0,2114.88,2114.880000000001,0.0,2.9761904761904754
