id_fact_oec_cp,id_razon_social,id_curso_perfil,id_fecha,num_cer,prediction_num_cer,total_horas,prediction_total_horas,total_ganancias,prediction_total_ganancias,porcentaje_asistencia,prediction_porcentaje_asistencia
0.0,2.0,7523.0,36.0,6.0,6.0,36.0,35.97563669491654,1500.0,1489.512023924546,0.0,0.4012864621330509
1.0,2.0,7524.0,36.0,6.0,6.0,36.0,35.97563669491654,1500.0,1489.512023924546,0.0,0.4012864621330509
33.0,2.0,7523.0,117.0,1.0,1.0,6.0,6.000317341489499,250.0,250.8957680313948,0.0,0.0558987766016963
34.0,2.0,7524.0,117.0,1.0,1.0,6.0,6.000317341489499,250.0,250.8957680313948,0.0,0.0558987766016963
41.0,2.0,7523.0,239.0,3.0,3.0,18.0,17.971736246415894,750.0,755.1637837933106,0.0,0.1444398815423994
42.0,2.0,7524.0,239.0,3.0,3.0,18.0,17.971736246415894,750.0,755.1637837933106,0.0,0.1444398815423994
55.0,2.0,7523.0,309.0,4.0,4.0,24.0,24.043275998804965,1000.0,1004.4639466666669,0.0,0.1444398815423994
56.0,2.0,7524.0,309.0,4.0,4.0,24.0,24.043275998804965,1000.0,1004.4639466666669,0.0,0.1444398815423994
62.0,2.0,7523.0,373.0,8.0,8.0,48.0,48.042001207375215,2000.0,2112.200047038099,0.0,0.4012864621330509
63.0,2.0,7524.0,373.0,8.0,8.0,48.0,48.042001207375215,2000.0,2112.200047038099,0.0,0.4012864621330509
64.0,2.0,6193.0,373.0,2.0,2.0,12.0,11.987662825167426,500.0,503.9646039006042,0.0,0.0558987766016963
65.0,2.0,6194.0,373.0,2.0,2.0,12.0,11.987662825167426,500.0,503.9646039006042,0.0,0.0558987766016963
66.0,2.0,7027.0,373.0,2.0,2.0,12.0,11.987662825167426,500.0,503.9646039006042,0.0,0.0558987766016963
67.0,2.0,7028.0,373.0,2.0,2.0,12.0,11.987662825167426,500.0,503.9646039006042,0.0,0.0558987766016963
70.0,2.0,7523.0,380.0,6.0,6.0,36.0,35.99760619884335,1500.0,1489.512023924546,0.0,0.4012864621330509
71.0,2.0,7524.0,380.0,6.0,6.0,36.0,35.99760619884335,1500.0,1489.512023924546,0.0,0.4012864621330509
72.0,2.0,7027.0,380.0,2.0,2.0,12.0,11.987662825167426,500.0,503.9646039006042,0.0,0.0558987766016963
73.0,2.0,7028.0,380.0,2.0,2.0,12.0,11.987662825167426,500.0,503.9646039006042,0.0,0.0558987766016963
79.0,2.0,7523.0,680.0,7.0,7.0,42.0,42.011898574027946,1750.0,1750.0,0.0,0.4012864621330509
80.0,2.0,7524.0,680.0,7.0,7.0,42.0,42.011898574027946,1750.0,1750.0,0.0,0.4012864621330509
84.0,2.0,7523.0,732.0,19.0,19.0,114.0,113.61716405405758,4750.0,4904.4736271809,0.0,1.2217981436757943
85.0,2.0,7524.0,732.0,19.0,19.0,114.0,113.61716405405758,4750.0,4904.4736271809,0.0,1.2217981436757943
113.0,2.0,7523.0,801.0,6.0,6.0,36.0,35.99760619884335,1500.0,1489.512023924546,0.0,0.4012864621330509
114.0,2.0,7524.0,801.0,6.0,6.0,36.0,35.99760619884335,1500.0,1489.512023924546,0.0,0.4012864621330509
115.0,2.0,7027.0,801.0,1.0,1.0,6.0,6.022286845416311,250.0,250.8957680313948,0.0,0.0558987766016963
