"especialidad_sector","modalidad","razon_social","fecha_resolucion","canton","provincia","id_fact_oc","id_razon_social","id_curso_perfil","id_fecha","%_asistencia","costo","tipo","area_familia","curso_perfil","estado","tipo_razon_social","num_cap_cer","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","total_ganancias","prediction(total_ganancias)"
"MISSING","presencial","MISSING","MISSING","quito","pichincha",0.0,1.0,3487.0,6.0,0.0,0.0,"curso","construcción e infraestructura",,"calificado","operador de capacitación",34.0,4.0,52.0,1360.0,40.0,2021.0,0.0,29860.0
"MISSING","presencial","MISSING","MISSING","quito","pichincha",1.0,1.0,3490.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",1.0,4.0,52.0,150.0,150.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",2.0,4.0,2868.0,6.0,0.0,0.0,"curso","servicios socioculturales y a la comunidad",,"calificado","operador de capacitación",25.0,12.0,500.0,1500.0,60.0,2021.0,0.0,19648.734104166666
"MISSING","presencial","MISSING","MISSING","guayaquil","guayas",3.0,12.0,3944.0,6.0,0.0,0.0,"curso","servicios socioculturales y a la comunidad",,"calificado","operador de capacitación",5.0,2.0,249.0,150.0,30.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","guayaquil","guayas",4.0,12.0,3943.0,6.0,0.0,0.0,"curso","servicios socioculturales y a la comunidad",,"calificado","operador de capacitación",244.0,2.0,249.0,9760.0,40.0,2021.0,0.0,85929.324998295
"MISSING","online","MISSING","MISSING","guayaquil","guayas",5.0,12.0,3946.0,6.0,0.0,0.0,"curso","servicios socioculturales y a la comunidad",,"calificado","operador de capacitación",244.0,2.0,249.0,9760.0,40.0,2021.0,0.0,85929.324998295
"capacitación","presencial","MISSING","MISSING","quito","pichincha",6.0,15.0,1442.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",23.0,10.0,495.0,1380.0,60.0,2021.0,0.0,18265.424000000003
"capacitación","presencial","MISSING","MISSING","quito","pichincha",7.0,15.0,1443.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",9.0,10.0,495.0,270.0,30.0,2021.0,0.0,3026.957142857143
"capacitación","presencial","MISSING","MISSING","quito","pichincha",8.0,15.0,1443.0,3.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",6.0,10.0,95.0,180.0,30.0,2018.0,0.0,2098.6285714285714
"MISSING","presencial","MISSING","MISSING","quito","pichincha",9.0,50.0,690.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",7.0,2.0,42.0,2184.0,312.0,2021.0,0.0,29860.0
"MISSING","presencial","MISSING","MISSING","quito","pichincha",10.0,50.0,697.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",7.0,2.0,42.0,2800.0,400.0,2021.0,0.0,29860.0
"capacitación","presencial","MISSING","MISSING","quito","pichincha",11.0,50.0,687.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",35.0,2.0,42.0,12600.0,360.0,2021.0,0.0,85929.324998295
"capacitación","presencial","MISSING","MISSING","quito","pichincha",12.0,50.0,691.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",35.0,2.0,42.0,14000.0,400.0,2021.0,0.0,85929.324998295
"MISSING","presencial","MISSING","MISSING","guayaquil","guayas",13.0,66.0,3581.0,6.0,0.0,0.0,"curso","comunicación y artes gráficas",,"calificado","operador de capacitación",573.0,2.0,655.0,17190.0,30.0,2021.0,0.0,85929.324998295
"MISSING","online","MISSING","MISSING","guayaquil","guayas",14.0,66.0,3585.0,6.0,0.0,0.0,"curso","comunicación y artes gráficas",,"calificado","operador de capacitación",573.0,2.0,655.0,17190.0,30.0,2021.0,0.0,85929.324998295
"MISSING","presencial","MISSING","MISSING","quito","pichincha",15.0,84.0,3574.0,6.0,0.0,0.0,"curso","artes y artesanía",,"calificado","operador de capacitación",1.0,1.0,1.0,30.0,30.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",16.0,100.0,2198.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",4.0,3.0,57.0,500.0,125.0,2021.0,0.0,5325.64
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",17.0,100.0,2197.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",26.0,3.0,57.0,5200.0,200.0,2021.0,0.0,37297.46666666667
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",18.0,100.0,2199.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",27.0,3.0,57.0,3510.0,130.0,2021.0,0.0,37297.46666666667
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",19.0,100.0,2198.0,3.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",6.0,3.0,36.0,750.0,125.0,2018.0,0.0,11148.75
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",20.0,100.0,2197.0,3.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",20.0,3.0,36.0,4000.0,200.0,2018.0,0.0,37297.46666666667
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",21.0,121.0,4198.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",2.0,5.0,108.0,50.0,25.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",22.0,121.0,4196.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",1.0,5.0,108.0,30.0,30.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",23.0,121.0,4202.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",55.0,5.0,108.0,1980.0,36.0,2021.0,0.0,9086.4
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",24.0,121.0,4207.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",55.0,5.0,108.0,2200.0,40.0,2021.0,0.0,9086.4
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",25.0,121.0,4201.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",47.0,5.0,108.0,846.0,18.0,2021.0,0.0,7196.09
"MISSING","online","MISSING","MISSING","cuenca","azuay",26.0,121.0,4210.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",47.0,5.0,108.0,846.0,18.0,2021.0,0.0,7196.09
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",27.0,121.0,4197.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",3.0,5.0,108.0,90.0,30.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",28.0,121.0,4204.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",3.0,5.0,108.0,120.0,40.0,2021.0,0.0,615.6961538375385
"MISSING","online","MISSING","MISSING","cuenca","azuay",29.0,121.0,4209.0,6.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",3.0,5.0,108.0,90.0,30.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",30.0,121.0,4196.0,3.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",5.0,4.0,80.0,150.0,30.0,2018.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",31.0,121.0,4202.0,3.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",53.0,4.0,80.0,1908.0,36.0,2018.0,0.0,9086.4
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",32.0,121.0,4207.0,3.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",53.0,4.0,80.0,2120.0,40.0,2018.0,0.0,9086.4
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",33.0,121.0,4201.0,3.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",21.0,4.0,80.0,378.0,18.0,2018.0,0.0,3886.186666666666
"MISSING","online","MISSING","MISSING","cuenca","azuay",34.0,121.0,4210.0,3.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",21.0,4.0,80.0,378.0,18.0,2018.0,0.0,3886.186666666666
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",35.0,121.0,4196.0,4.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",17.0,3.0,71.0,510.0,30.0,2019.0,0.0,5325.64
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",36.0,121.0,4202.0,4.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",37.0,3.0,71.0,1332.0,36.0,2019.0,0.0,6179.0
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",37.0,121.0,4207.0,4.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",37.0,3.0,71.0,1480.0,40.0,2019.0,0.0,6179.0
"MISSING","presencial","MISSING","MISSING","cuenca","azuay",38.0,121.0,4201.0,4.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",17.0,3.0,71.0,306.0,18.0,2019.0,0.0,3886.186666666666
"MISSING","online","MISSING","MISSING","cuenca","azuay",39.0,121.0,4210.0,4.0,0.0,0.0,"curso","electricidad y electrónica",,"calificado","operador de capacitación",17.0,3.0,71.0,306.0,18.0,2019.0,0.0,3886.186666666666
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",40.0,129.0,1467.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",96.0,8.0,438.0,1536.0,16.0,2021.0,0.0,10812.15
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",41.0,129.0,1478.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",11.0,8.0,438.0,176.0,16.0,2021.0,0.0,2098.6285714285714
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",42.0,129.0,1483.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",1.0,8.0,438.0,40.0,40.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",43.0,129.0,1466.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",15.0,8.0,438.0,150.0,10.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",44.0,129.0,1469.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",152.0,8.0,438.0,6080.0,40.0,2021.0,0.0,34688.11
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",45.0,129.0,1481.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",30.0,8.0,438.0,360.0,12.0,2021.0,0.0,3026.957142857143
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",46.0,129.0,1471.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",4.0,8.0,438.0,64.0,16.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",47.0,129.0,1462.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",129.0,8.0,438.0,5160.0,40.0,2021.0,0.0,87338.40000000001
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",48.0,129.0,1469.0,3.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",131.0,3.0,227.0,5240.0,40.0,2018.0,0.0,34688.11
"MISSING","presencial","MISSING","MISSING","MISSING","pichincha",49.0,129.0,1457.0,4.0,0.0,0.0,"curso","administración y legislación",,"calificado","operador de capacitación",4.0,7.0,207.0,40.0,10.0,2019.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","quito","pichincha",50.0,147.0,1794.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",4.0,4.0,42.0,200.0,50.0,2021.0,0.0,1094.4599999696
"MISSING","presencial","MISSING","MISSING","quito","pichincha",51.0,147.0,1780.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",27.0,4.0,42.0,4050.0,150.0,2021.0,0.0,37297.46666666667
"MISSING","presencial","MISSING","MISSING","quito","pichincha",52.0,147.0,1781.0,6.0,0.0,0.0,"curso","mecánica industrial y minería",,"calificado","operador de capacitación",7.0,4.0,42.0,1050.0,150.0,2021.0,0.0,7196.09
"MISSING","presencial","MISSING","MISSING","quito","pichincha",53.0,147.0,1781.0,4.0,0.0,0.0,"curso","mecánica industrial y minería",,"calificado","operador de capacitación",10.0,1.0,10.0,1500.0,150.0,2019.0,0.0,29860.0
"MISSING","presencial","MISSING","MISSING","quito","pichincha",54.0,180.0,2164.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",29.0,7.0,113.0,17400.0,600.0,2021.0,0.0,85929.324998295
"MISSING","online","MISSING","MISSING","quito","pichincha",55.0,180.0,2165.0,6.0,0.0,0.0,"curso","alimentación gastronomía y turismo",,"calificado","operador de capacitación",29.0,7.0,113.0,17400.0,600.0,2021.0,0.0,85929.324998295
"capacitación","presencial","MISSING","MISSING","quito","pichincha",56.0,180.0,2186.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",14.0,7.0,113.0,7000.0,500.0,2021.0,0.0,37297.46666666667
"capacitación","online","MISSING","MISSING","quito","pichincha",57.0,180.0,2187.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",14.0,7.0,113.0,7000.0,500.0,2021.0,0.0,37297.46666666667
"MISSING","online","MISSING","MISSING","quito","pichincha",58.0,180.0,2142.0,6.0,0.0,0.0,"curso","forestal ecología y medio ambiente",,"calificado","operador de capacitación",41.0,7.0,113.0,1230.0,30.0,2021.0,0.0,10812.15
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",59.0,186.0,31.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",1.0,2.0,20.0,40.0,40.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","MISSING","MISSING",60.0,186.0,30.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",19.0,2.0,20.0,760.0,40.0,2021.0,0.0,11148.75
"capacitación","presencial","MISSING","MISSING","quito","pichincha",61.0,194.0,4503.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",1.0,9.0,11.0,268.0,268.0,2021.0,0.0,3886.186666666666
"capacitación","presencial","MISSING","MISSING","quito","pichincha",62.0,194.0,4499.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",1.0,9.0,11.0,267.0,267.0,2021.0,0.0,3886.186666666666
"capacitación","presencial","MISSING","MISSING","quito","pichincha",63.0,194.0,4502.0,6.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",1.0,9.0,11.0,266.0,266.0,2021.0,0.0,3886.186666666666
"capacitación","presencial","MISSING","MISSING","quito","pichincha",64.0,194.0,4500.0,3.0,0.0,0.0,"curso","educación y capacitación",,"calificado","operador de capacitación",1.0,7.0,19.0,267.0,267.0,2018.0,0.0,3886.186666666666
"MISSING","presencial","MISSING","MISSING","quito","pichincha",65.0,196.0,4408.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",1.0,2.0,2.0,22.0,22.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","quito","pichincha",66.0,196.0,4405.0,3.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",39.0,5.0,159.0,312.0,8.0,2018.0,0.0,3886.186666666666
"MISSING","presencial","MISSING","MISSING","quito","pichincha",67.0,196.0,4407.0,3.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",4.0,5.0,159.0,32.0,8.0,2018.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","quito","pichincha",68.0,196.0,4409.0,3.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",40.0,5.0,159.0,320.0,8.0,2018.0,0.0,3886.186666666666
"MISSING","presencial","MISSING","MISSING","quito","pichincha",69.0,196.0,4406.0,3.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",59.0,5.0,159.0,472.0,8.0,2018.0,0.0,5325.64
"MISSING","presencial","MISSING","MISSING","quito","pichincha",70.0,212.0,4261.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",337.0,12.0,1394.0,5392.0,16.0,2021.0,0.0,34688.11
"MISSING","online","MISSING","MISSING","quito","pichincha",71.0,212.0,4262.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",337.0,12.0,1394.0,5392.0,16.0,2021.0,0.0,34688.11
"MISSING","presencial","MISSING","MISSING","quito","pichincha",72.0,212.0,4258.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",29.0,12.0,1394.0,232.0,8.0,2021.0,0.0,1094.4599999696
"MISSING","online","MISSING","MISSING","quito","pichincha",73.0,212.0,4268.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",29.0,12.0,1394.0,232.0,8.0,2021.0,0.0,1094.4599999696
"MISSING","presencial","MISSING","MISSING","quito","pichincha",74.0,212.0,4250.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",136.0,12.0,1394.0,1088.0,8.0,2021.0,0.0,7196.09
"MISSING","online","MISSING","MISSING","quito","pichincha",75.0,212.0,4251.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",136.0,12.0,1394.0,1088.0,8.0,2021.0,0.0,7196.09
"MISSING","presencial","MISSING","MISSING","quito","pichincha",76.0,212.0,4246.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",35.0,12.0,1394.0,280.0,8.0,2021.0,0.0,3026.957142857143
"MISSING","online","MISSING","MISSING","quito","pichincha",77.0,212.0,4265.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",35.0,12.0,1394.0,280.0,8.0,2021.0,0.0,1011.25
"MISSING","presencial","MISSING","MISSING","quito","pichincha",78.0,212.0,4252.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",181.0,12.0,1394.0,2896.0,16.0,2021.0,0.0,14064.3
"MISSING","online","MISSING","MISSING","quito","pichincha",79.0,212.0,4253.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",181.0,12.0,1394.0,2896.0,16.0,2021.0,0.0,14064.3
"MISSING","presencial","MISSING","MISSING","quito","pichincha",80.0,212.0,4248.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",187.0,12.0,1394.0,2992.0,16.0,2021.0,0.0,14064.3
"MISSING","online","MISSING","MISSING","quito","pichincha",81.0,212.0,4249.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",187.0,12.0,1394.0,2992.0,16.0,2021.0,0.0,14064.3
"MISSING","presencial","MISSING","MISSING","quito","pichincha",82.0,212.0,4245.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",87.0,12.0,1394.0,696.0,8.0,2021.0,0.0,7196.09
"MISSING","online","MISSING","MISSING","quito","pichincha",83.0,212.0,4247.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",87.0,12.0,1394.0,696.0,8.0,2021.0,0.0,7196.09
"MISSING","presencial","MISSING","MISSING","quito","pichincha",84.0,212.0,4254.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",267.0,12.0,1394.0,2136.0,8.0,2021.0,0.0,14064.3
"MISSING","online","MISSING","MISSING","quito","pichincha",85.0,212.0,4255.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",267.0,12.0,1394.0,2136.0,8.0,2021.0,0.0,14064.3
"MISSING","presencial","MISSING","MISSING","quito","pichincha",86.0,212.0,4263.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",11.0,12.0,1394.0,88.0,8.0,2021.0,0.0,615.6961538375385
"MISSING","online","MISSING","MISSING","quito","pichincha",87.0,212.0,4264.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",11.0,12.0,1394.0,88.0,8.0,2021.0,0.0,615.6961538375385
"MISSING","presencial","MISSING","MISSING","quito","pichincha",88.0,212.0,4256.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",59.0,12.0,1394.0,472.0,8.0,2021.0,0.0,5325.64
"MISSING","online","MISSING","MISSING","quito","pichincha",89.0,212.0,4266.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",59.0,12.0,1394.0,472.0,8.0,2021.0,0.0,5325.64
"MISSING","presencial","MISSING","MISSING","quito","pichincha",90.0,212.0,4257.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",4.0,12.0,1394.0,32.0,8.0,2021.0,0.0,212.81000000000003
"MISSING","semipresencial","MISSING","MISSING","quito","pichincha",91.0,212.0,4267.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",4.0,12.0,1394.0,32.0,8.0,2021.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","quito","pichincha",92.0,212.0,4259.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",61.0,12.0,1394.0,976.0,16.0,2021.0,0.0,7196.09
"MISSING","online","MISSING","MISSING","quito","pichincha",93.0,212.0,4260.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",61.0,12.0,1394.0,976.0,16.0,2021.0,0.0,7196.09
"MISSING","presencial","MISSING","MISSING","quito","pichincha",94.0,212.0,4261.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",49.0,17.0,247.0,784.0,16.0,2019.0,0.0,7196.09
"MISSING","online","MISSING","MISSING","quito","pichincha",95.0,212.0,4262.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",49.0,17.0,247.0,784.0,16.0,2019.0,0.0,7196.09
"MISSING","presencial","MISSING","MISSING","quito","pichincha",96.0,212.0,4258.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",3.0,17.0,247.0,24.0,8.0,2019.0,0.0,212.81000000000003
"MISSING","online","MISSING","MISSING","quito","pichincha",97.0,212.0,4268.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",3.0,17.0,247.0,24.0,8.0,2019.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","quito","pichincha",98.0,212.0,4250.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",20.0,17.0,247.0,160.0,8.0,2019.0,0.0,2098.6285714285714
"MISSING","online","MISSING","MISSING","quito","pichincha",99.0,212.0,4251.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",20.0,17.0,247.0,160.0,8.0,2019.0,0.0,2098.6285714285714
"MISSING","presencial","MISSING","MISSING","quito","pichincha",100.0,212.0,4246.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",6.0,17.0,247.0,48.0,8.0,2019.0,0.0,212.81000000000003
"MISSING","online","MISSING","MISSING","quito","pichincha",101.0,212.0,4265.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",6.0,17.0,247.0,48.0,8.0,2019.0,0.0,212.81000000000003
"MISSING","presencial","MISSING","MISSING","quito","pichincha",102.0,212.0,4252.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",17.0,17.0,247.0,272.0,16.0,2019.0,0.0,3886.186666666666
