"Marca temporal","En que área te especializas","1.  Visibilidad del estado del sistema [Escala]","2. Coincidencia entre el sistema y el mundo real [Escala]","3. Control y libertad del usuario [Escala]","4. Coherencia y estándares [Escala]","5. Prevención de errores [Escala]","6. Reconocimiento en lugar de recuerdo [Escala]","7. Flexibilidad y eficiencia de uso [Escala]","8. Diseño estético y minimalista [Escala]","9. Ayudar a los usuarios a reconocer, diagnosticar y recuperarse de errores [Escala]","10. Ayuda y documentación [Escala]","1. Creo que usaría esta  aplicación frecuentemente","2. Encuentro esta aplicación innecesariamente complejo","3. Creo que la aplicación fue fácil de usar","4. Creo que necesitaría ayuda de una persona con conocimientos técnicos para usar esta   aplicación ","5. Encontré todas las funciones de la  aplicación bien integradas.","6. Esta  aplicación contiene muchas inconsistencias en su contenido y funcionalidad ","7. Imagino que la mayoría de la gente aprendería a usar esta aplicación en forma muy rápida","8. Encuentro que la aplicación es muy difícil de usar","9. Sentí confianza usando la aplicación ","10. Necesito aprender muchas cosas antes de usar esta  aplicación","","","","","","","","",""
"2023/02/19 10:59:19 p. m. GMT-5","Ciencia o Ingeniería de Datos","0. No es considerado en su totalidad un problema de usabilidad","","","","","","","","","","5","2","4","2","4","2","4","1","4","1","1. Problema apenas estético","NO aplica","1. Problema apenas estético","0. No es considerado en su totalidad un problema de usabilidad","1. Problema apenas estético","NO aplica","0. No es considerado en su totalidad un problema de usabilidad","0. No es considerado en su totalidad un problema de usabilidad","0. No es considerado en su totalidad un problema de usabilidad"
"2023/02/20 9:50:15 a. m. GMT-5","Estadística","1. Problema apenas estético","","","","","","","","","","5","1","5","3","5","1","3","1","5","2","NO aplica","0. No es considerado en su totalidad un problema de usabilidad","0. No es considerado en su totalidad un problema de usabilidad","1. Problema apenas estético","0. No es considerado en su totalidad un problema de usabilidad","NO aplica","NO aplica","NO aplica","NO aplica"
"2023/02/20 10:21:51 a. m. GMT-5","Desarrollo de Software","0. muy bueno","1. bueno","1. bueno","1. bueno","2. regular","1. bueno","1. bueno","1. bueno","1. bueno","0. muy bueno","5","2","4","1","5","1","5","1","4","2","","","","","","","","",""
"2023/02/20 10:40:02 a. m. GMT-5","QA","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","1","5","1","5","1","5","1","5","1","","","","","","","","",""
"2023/02/20 10:42:15 a. m. GMT-5","Ciencia o Ingeniería de Datos","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","1. bueno","4","1","4","1","5","2","5","1","5","1","","","","","","","","",""
"2023/02/20 10:53:30 a. m. GMT-5","Ciencia o Ingeniería de Datos","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","4","4","4","4","5","5","5","4","4","4","","","","","","","","",""
"2023/02/20 11:08:47 a. m. GMT-5","Desarrollo de Software","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","1. bueno","5","2","5","1","5","1","4","1","5","1","","","","","","","","",""
"2023/02/20 11:14:33 a. m. GMT-5","Ingeniería Civil","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","4","2","5","3","5","2","5","2","5","2","","","","","","","","",""
"2023/02/20 11:15:40 a. m. GMT-5","Educación","1. bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","2. regular","0. muy bueno","1. bueno","4","4","4","3","3","3","3","3","3","3","","","","","","","","",""
"2023/02/20 11:25:24 a. m. GMT-5","Estadística","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","3","4","3","5","1","3","2","5","3","","","","","","","","",""
