,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil,Descargar Esquema
0,MANTENIMIENTO ELECTROMECÁNICO DE VEHÍCULOS,"REALIZAR OPERACIONES DE MANTENIMIENTO, MONTAJE DE ACCESORIOS Y MODIFICACIONES DEL VEHÍCULO EN EL ÁREA DE MECÁNICA, HIDRÁULICA, NEUMÁTICA Y ELECTRICIDAD ELECTRÓNICA AJUSTÁNDOSE A PROCEDIMIENTOS Y TIEMPOS ESTABLECIDOS, CONSIGUIENDO LA CALIDAD REQUERIDA Y EN CONDICIONES DE SEGURIDAD.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,,
1,ASISTENCIA EN ACTIVIDADES DE SANIDAD VEGETAL,REALIZAR ACTIVIDADES DE PREVENCIÓN DE LA PROPAGACIÓN DE PLAGAS Y ENFERMEDADES EN EL CULTIVO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
2,OPERACIONES AUXILIARES DE BIBLIOTECA,"REALIZAR LABORES DE APOYO EN SERVICIOS DE ATENCIÓN AL USUARIO, GESTIÓN TECNOLÓGICA, ADMINISTRATIVA Y DE INFORMACIÓN EN BIBLIOTECAS, CENTROS DE INFORMACIÓN Y/O DOCUMENTACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",,
3,METROLOGÍA CIENTÍFICA,GENERAR PATRONES O MATERIALES DE REFERENCIA DE ACUERDO AL SISTEMA INTERNACIONAL DE UNIDADES S.I.,ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA",,
4,ENTRENAMIENTO CANINO,REALIZAR EL ADIESTRAMIENTO CANINO POR ESPECIALIDAD DE ACUERDO CON LA NORMATIVA NACIONAL E INTERNACIONAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
5,PRODUCCIÓN DE AUDIOVISUALES,DISEÑAR Y REALIZAR PROYECTOS AUDIOVISUALES EN CONFORMIDAD CON ESTÁNDARES DE CALIDAD Y LOS LINEAMIENTOS ESTABLECIDOS POR LA EMPRESA O MEDIO DE COMUNICACIÓN.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",,
6,EVALUACIÓN DE LA CALIDAD Y EXCELENCIA EN LA GESTIÓN PÚBLICA,"DETERMINAR EL NIVEL DE MADUREZ DE LA GESTIÓN PÚBLICA, IDENTIFICANDO PUNTOS FUERTES Y ÁREAS DE MEJORA ACORDE A LOS CRITERIOS DEL MODELO ECUATORIANO DE CALIDAD Y EXCELENCIA Y SU NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
7,INSPECCIÓN SANITARIA EN ESTABLECIMIENTOS DE DISTRIBUCIÓN DE PRODUCTOS AGROPECUARIOS,"VERIFICAR ESTABLECIMIENTOS DE INGRESO, MANEJO Y USO DE PLAGUICIDAS QUÍMICOS DE USO AGRÍCOLA DE ACUERDO A CONTROLES PROGRAMADOS QUE PERMITAN GARANTIZAR LA INOCUIDAD ALIMENTARIA, LA INTEGRIDAD ECOLÓGICA DE LOS ECOSISTEMAS Y LA PRODUCCIÓN AGROPECUARIA CUMPLIENDO LA NORMATIVA VIGENTE.",PRODUCCIÓN PECUARIA,FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,,
8,GESTIÓN EN COMERCIO EXTERIOR,GESTIONAR OPERACIONES COMERCIALES NACIONALES E INTERNACIONALES DE PRODUCTOS Y SERVICIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS EN LA NORMATIVA VIGENTE QUE RIGEN AL COMERCIO EXTERIOR,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",,
9,SUPERVISIÓN EN LIMPIEZA DE UNIDADES DE SALUD,REALIZAR LA SUPERVISIÓN Y CONTROL DE LAS OPERACIONES DE LIMPIEZA DE UNIDADES DE SALUD Y MANEJO INTEGRAL DE DESECHOS SANITARIOS DE ACUERDO A PROTOCOLOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,,
